passenger_count,trip_distance,trip_duration_minutes,pickup_hour,pickup_dayofweek,PULocationID,DOLocationID,high_revenue_trip
1,1.1,8.116666666666667,0,5,246,230,0
1,2.9,13.533333333333333,0,5,100,144,0
1,2.4,11.466666666666667,0,5,114,13,0
1,1.9,11.1,0,5,88,79,0
1,12.07,25.933333333333334,0,5,138,143,1
1,0.42,2.6166666666666667,0,5,230,113,0
1,9.86,20.883333333333333,0,5,138,239,1
1,1.77,7.75,0,5,79,170,0
1,1.86,12.483333333333333,0,5,170,48,0
1,4.46,23.333333333333332,0,5,100,7,0
1,1.52,9.433333333333334,0,5,148,87,0
2,4.88,14.233333333333333,0,5,88,79,1
1,5.12,13.85,0,5,132,260,0
1,18.72,33.86666666666667,0,5,132,144,1
1,2.4,10.083333333333334,0,5,263,142,0
1,0.4,2.933333333333333,0,5,161,229,0
2,22.14,29.05,0,5,138,265,1
1,1.75,7.316666666666666,0,5,211,234,0
1,1.29,10.666666666666666,0,5,161,50,0
1,1.29,10.666666666666666,0,5,161,50,0
1,4.04,12.733333333333333,0,5,230,151,1
1,10.86,29.2,0,5,132,61,1
1,0.63,2.5166666666666666,0,5,246,90,0
1,3.91,22.833333333333332,0,5,25,228,0
4,1.67,10.233333333333333,0,5,24,74,0
1,2.8,10.0,0,5,229,112,0
1,0.85,5.5,0,5,237,229,0
1,11.31,21.633333333333333,0,5,138,40,1
1,1.56,9.3,0,5,164,79,0
2,2.15,10.466666666666667,0,5,163,141,0
1,3.7,13.533333333333333,0,5,162,151,0
1,2.09,16.2,0,5,48,107,0
3,3.6,11.216666666666667,0,5,79,80,0
1,3.52,13.1,0,5,144,229,0
1,1.31,6.3,0,5,164,233,0
1,0.63,4.7,0,5,114,211,0
2,1.0,3.75,0,5,48,68,0
1,0.59,3.9166666666666665,0,5,100,162,0
1,0.59,3.9166666666666665,0,5,100,162,0
1,17.88,38.1,0,5,132,100,1
1,9.35,36.81666666666667,0,5,48,37,1
1,2.25,13.6,0,5,143,263,0
2,2.25,13.716666666666667,0,5,237,163,0
2,2.25,13.716666666666667,0,5,237,163,0
2,4.29,22.083333333333332,0,5,141,186,1
1,0.75,2.183333333333333,0,5,163,161,0
1,0.42,3.7,0,5,230,50,0
1,2.58,12.566666666666666,0,5,48,141,0
1,9.1,21.233333333333334,0,5,70,90,1
1,2.11,6.616666666666666,0,5,137,232,0
2,3.66,13.916666666666666,0,5,114,49,1
1,5.78,15.766666666666667,0,5,140,209,1
1,3.21,16.9,0,5,211,97,0
1,3.0,13.55,0,5,230,263,0
1,3.77,16.933333333333334,0,5,249,141,0
1,0.44,3.8,0,5,233,162,0
1,1.28,7.433333333333334,0,5,161,233,0
1,2.02,10.616666666666667,0,5,249,261,0
1,4.51,17.6,0,5,230,13,1
1,6.37,27.316666666666666,0,5,87,85,0
1,6.37,27.316666666666666,0,5,87,85,1
1,1.62,9.2,0,5,43,164,0
5,1.93,6.233333333333333,0,5,236,170,0
4,5.44,17.8,0,5,234,151,1
1,2.87,11.683333333333334,0,5,113,65,0
1,3.97,12.116666666666667,0,5,138,92,1
1,2.62,13.1,0,5,125,230,0
2,1.04,7.016666666666667,0,5,48,246,0
2,3.42,14.916666666666666,0,5,148,80,0
1,1.0,5.616666666666666,0,5,256,256,0
1,10.6,25.716666666666665,0,5,148,7,1
1,10.63,25.966666666666665,0,5,138,239,1
1,7.62,14.283333333333333,0,5,87,263,1
1,8.58,17.783333333333335,0,5,138,233,1
2,4.11,15.616666666666667,0,5,161,232,1
2,2.71,10.666666666666666,0,5,148,170,0
1,2.3,9.733333333333333,0,5,43,246,0
2,2.86,11.816666666666666,0,5,24,163,0
1,11.49,23.633333333333333,0,5,138,230,1
1,8.4,16.933333333333334,0,5,138,236,1
2,4.74,14.166666666666666,0,5,68,238,0
1,1.15,5.366666666666666,0,5,234,114,0
4,5.28,18.333333333333332,0,5,249,262,1
1,1.77,4.666666666666667,0,5,48,90,0
1,1.5,7.466666666666667,0,5,142,161,0
1,1.6,5.916666666666667,0,5,43,238,0
1,8.76,24.116666666666667,0,5,138,166,1
1,1.62,6.333333333333333,0,5,114,261,0
1,1.79,8.683333333333334,1,5,68,162,0
1,3.06,14.8,0,5,48,140,0
1,2.78,15.316666666666666,0,5,186,148,0
1,1.62,10.133333333333333,0,5,114,148,0
2,5.24,24.133333333333333,0,5,231,236,1
1,1.8,10.85,0,5,161,143,0
1,0.44,2.8333333333333335,0,5,239,238,0
2,0.51,3.5166666666666666,0,5,170,233,0
1,0.92,4.316666666666666,0,5,107,186,0
1,1.4,7.816666666666666,0,5,186,230,0
1,2.2,9.0,0,5,230,90,0
1,0.82,2.7666666666666666,0,5,140,140,0
1,1.9,7.916666666666667,0,5,237,262,0
1,3.4,10.716666666666667,0,5,263,107,0
1,2.86,11.966666666666667,0,5,263,161,0
1,1.31,8.966666666666667,0,5,148,231,0
2,0.98,4.183333333333334,0,5,249,234,0
1,2.64,7.916666666666667,0,5,79,140,0
2,1.75,7.55,0,5,234,163,0
1,9.31,29.65,0,5,186,133,1
1,0.71,4.416666666666667,0,5,148,4,0
1,2.83,7.1,0,5,148,87,0
1,7.67,11.066666666666666,0,5,48,243,1
1,1.11,7.433333333333334,0,5,68,50,0
2,14.36,39.016666666666666,0,5,114,220,1
1,3.16,10.85,0,5,107,112,0
1,3.16,10.85,0,5,107,112,0
2,21.5,40.0,0,5,132,87,1
1,5.98,17.183333333333334,0,5,246,166,1
1,2.18,10.05,0,5,163,236,0
